Vatten-ID	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Distrikt	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Vattentyp - Sjö	Limnisk vattentypsregion	Medeldjup (m)	Alkalinitet (mekv/l)	Humus (mg Pt/l)
SE702484-134589	Kösjön	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	Bottenhavet	LW	Vattenförekomst	3---	3			
SE679901-151225	Losjön	Ljusnan - SE48000	Gävleborg - 21	Ovanåker - 2121	Bottenhavet	LW	Vattenförekomst	2---	2			
SE681401-156820	Sivikstjärn	Kustområde - SE46047	Gävleborg - 21	Hudiksvall - 2184	Bottenhavet	LW	Vattenförekomst	2---	2			
SE707013-148808	Låsjön	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE696749-155183	Hällsjön	Indalsälven - SE40000	Västernorrland - 22	Sundsvall - 2281	Bottenhavet	LW	Vattenförekomst	3GL-	3	G	L	
SE697626-137743	Ekorrsjön	Ljungan - SE42000	Jämtland - 23	Berg - 2326	Bottenhavet	LW	Vattenförekomst	3---	3			
SE708782-160788	Blackfjälltjärnen	Gideälven - SE34000	Västernorrland - 22	Örnsköldsvik - 2284	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE698430-133677	Krustjärnen	Ljungan - SE42000	Jämtland - 23	Berg - 2326	Bottenhavet	LW	Vattenförekomst	4---	4			
SE699435-151096	Väster-Ringsjön	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	Bottenhavet	LW	Vattenförekomst	3---	3			
SE677624-152511	Fansen	Testeboån - SE51000	Gävleborg - 21	Bollnäs - 2183	Bottenhavet	LW	Vattenförekomst	3G--	3	G		
SE692696-131880	Dalstenshån	Ljusnan - SE48000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	4---	4			
SE694113-145679	Stugusjön	Ljungan - SE42000	Västernorrland - 22	Ånge - 2260	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE720161-151397	Stor-Dainan	Ångermanälven - SE38000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE717722-145606	Gierkerejaure / Gierkerejaevrie	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE705769-160311	Stor-Åskasjön	Moälven - SE36000	Västernorrland - 22	Örnsköldsvik - 2284	Bottenhavet	LW	Vattenförekomst	3GL-	3	G	L	
