EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Allmänna uppgifter	Vattentyp - Sjö	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Djupkategori	Yta	Färg (Humus)	Bakgrundsalkalinitet
SE662551-142470	Saxen-Hällefors/Filipstad	Göta älv - SE108000	Värmland - 17, Örebro - 18	Filipstad - 1782, Hällefors - 1863	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE668075-139835	Milsjön	Göta älv - SE108000	Värmland - 17, Dalarna - 20	Filipstad - 1782, Malung-Sälen - 2023, Vansbro - 2021	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE667277-140244	Fjällrämmen/Milsjön	Göta älv - SE108000	Värmland - 17, Dalarna - 20	Filipstad - 1782, Malung-Sälen - 2023	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE666073-141352	Södra Laggen/Norra Laggen	Göta älv - SE108000	Värmland - 17, Dalarna - 20	Filipstad - 1782, Ludvika - 2085	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE667351-135645	Jangen	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Norsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE667001-137024	Mossbergssjön	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE667103-139085	Stor-Laggen	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE667043-139241	Storsjön	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE666992-137730	Acksjön	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE665505-138876	Lill-Ullen	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE665144-139321	Stora Örsjön	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE664546-138673	Busken	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE664614-136702	Stor-En	Göta älv - SE108000	Värmland - 17	Hagfors - 1783	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE663270-131825	Gunnern	Göta älv - SE108000	Värmland - 17	Arvika - 1784	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE663426-131715	Backsjön	Göta älv - SE108000	Värmland - 17	Arvika - 1784	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE662987-131632	Bjälvern	Göta älv - SE108000	Värmland - 17	Arvika - 1784	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE662445-133391	Mangen	Göta älv - SE108000	Värmland - 17	Arvika - 1784	SE5	SE5	Borgviksälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE658566-131495	Björnklammen	Göta älv - SE108000	Värmland - 17	Säffle - 1785	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
