WB,n
SE639619-148265,3
SE639635-137710,3
SE639661-133346,4
SE639673-132270,2
SE639676-147775,4
SE639683-134896,3
SE639722-152504,3
SE639750-165508,4
SE639765-148395,4
SE639819-139887,4
SE639863-127455,4
SE639865-137926,4
SE639898-128091,3
SE639905-143013,6
SE639929-127630,8
SE639937-131012,4
SE639969-141762,4
SE639982-136129,4
SE639988-130661,4
SE640038-138247,3
SE640071-127357,4
SE640103-144811,3
SE640182-154482,4
SE640186-138999,4
SE640195-154814,3
SE640214-141017,4
SE640218-129750,4
SE640224-138043,4
SE640243-143249,3
SE640259-129254,4
SE640289-166371,4
SE640297-137081,4
SE640309-139514,2
SE640333-141495,3
SE640364-129240,30
SE640395-144005,3
SE640412-132612,4
SE640458-130232,3
SE640522-127294,2
SE640576-128211,4
SE640589-132179,4
SE640601-130880,4
SE640612-137881,4
SE640613-142734,3
SE640619-129618,3
SE640627-140342,3
SE640656-128582,4
SE640721-139670,3
SE640726-127722,2
SE640729-136005,4
SE640746-140268,6
SE640767-168369,2
SE640778-130948,2
SE640818-128313,4
SE640846-145344,4
SE640893-128938,4
SE640923-145019,3
SE640989-128262,4
SE641021-151421,3
SE641045-126412,2
SE641089-142422,3
SE641131-131802,4
SE641170-147082,4
SE641190-129229,4
SE641199-130515,4
SE641209-145788,4
SE641225-145772,3
SE641237-129877,4
SE641249-139894,4
SE641250-210560,16
SE641250-211751,2
SE641285-137147,4
SE641312-129736,4
SE641347-133703,2
SE641372-131599,4
SE641404-141800,3
SE641442-127853,4
SE641451-128303,4
SE641500-132805,4
SE641520-142252,6
SE641522-128081,4
SE641603-144848,30
SE641619-713634,4
SE641687-128380,4
SE641691-140988,3
SE641711-130766,2
SE641720-211520,1
SE641746-136639,4
SE641768-127580,2
SE641791-147497,4
SE641840-211540,2
SE641905-137438,4
SE641911-139532,4
SE642122-148744,25
SE642136-144141,3
SE642138-130063,6
SE642216-131250,4
SE642239-153297,2
SE642253-138558,3
SE642387-143714,3
SE642458-129313,4
SE642489-151724,31
SE642520-139531,4
SE642531-128098,4
SE642555-168553,25
SE642557-142623,3
SE642563-148247,4
SE642578-153740,4
SE642620-141879,4
SE642633-142169,3
SE642676-137266,3
SE642792-148865,4
SE642832-129517,4
SE642868-131662,2
SE642883-145314,2
SE642902-139413,4
SE642919-128669,4
SE642933-138293,3
SE643026-126722,4
SE643125-144824,3
SE643228-126764,2
SE643259-139674,4
SE643269-153913,3
SE643284-127968,4
SE643302-137043,2
SE643391-145128,2
SE643408-154899,4
SE643422-149878,3
SE643467-147408,4
SE643474-126789,4
SE643499-130158,3
SE643510-139718,4
SE643529-149150,4
SE643694-129531,4
SE643700-211940,30
SE643756-140257,4
SE643879-154583,2
SE643891-130193,4
SE643920-211500,3
SE643934-128958,2
SE643956-127489,4
SE644030-218500,20
SE644040-211260,12
