EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Tillkomst/härkomst	Vattentyp - Vattendrag	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Avrinningsområde	Färg (Humus)	Bakgrundsalkalinitet
SE719338-166972	Månsträskån	Umeälven - SE28000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE715084-169045	Hjuksån	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE714712-168614	Mjösjöån	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE712620-169788	Krycklan	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE712895-170412	Bubergsån	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE710586-169912	Gullbäcken	Umeälven - SE28000	Västerbotten - 24	Vännäs - 2460	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE729126-148975	SE729126-148975	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE727731-150666	Kirjesån	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE734246-147456	Tärnaån	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE729464-148314	Biellojukke	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
